Prognosis,Symptoms
Osteochondrosis,"allergic reaction, blood in urine, bones are painful, elbow lump or mass, foot or toe lump or mass, hand or finger lump or mass, knee cramps or spasms, knee lump or mass, knee stiffness or tightness, knee swelling, skin lesion, weakness"
Metabolic disorder,"arm pain, difficulty breathing, increased heart rate, itchy scalp, melena, muscle cramps, contractures, or spasms, problems with orgasm, recent pregnancy, ringing in ear, slurring words, toothache, weakness"
Vaginitis,"low urine output, obsessions and compulsions, pain during intercourse, painful sinuses, paresthesia, seizures, stuttering or stammering, vaginal bleeding after menopause, vaginal dryness, vaginal itching, vaginal pain, vomiting blood"
Tinnitus of unknown cause,"difficulty speaking, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, frequent urination, hand or finger weakness, hip weakness, itching of the anus, neck pain, peripheral edema, rib pain, symptoms of bladder"
Glaucoma,"bleeding or discharge from nipple, diminished hearing, excessive urination at night, eye moves abnormally, fears and phobias, foot or toe weakness, irritable infant, itchy ear(s), lack of growth, pain during pregnancy, sore throat, symptoms of bladder"
Eating disorder,"absence of menstruation, ache all over, antisocial behavior, cross-eyed, delusions or hallucinations, depression, difficulty breathing, emotional symptoms, excessive anger, infrequent menstruation, vomiting, weakness"
Transient ischemic attack,"depression, difficulty in swallowing, diminished hearing, discharge in stools, disturbance of smell or taste, flushing, hand or finger weakness, long menstrual periods, palpitations, sleepwalking, symptoms of prostate, warts"
Pyelonephritis,"back mass or lump, blood in stool, feet turned in, frequent menstruation, low back cramps or spasms, low urine output, nasal congestion, painful sinuses, seizures, shoulder weakness, stuttering or stammering, vaginal redness"
Rotator cuff injury,"abnormal appearing skin, apnea, arm lump or mass, arm pain, hand or finger pain, lacrimation, neck pain, shoulder lump or mass, shoulder pain, shoulder stiffness or tightness, shoulder swelling, tongue bleeding"
Chronic pain disorder,"abusing alcohol, back mass or lump, hand or finger weakness, hip lump or mass, knee lump or mass, leg lump or mass, low back cramps or spasms, lower abdominal pain, neck mass, paresthesia, seizures, shoulder lump or mass"
Problem during pregnancy,"back mass or lump, bumps on penis, coughing up sputum, hand or finger weakness, low urine output, nasal congestion, pain during intercourse, paresthesia, premenstrual tension or irritability, seizures, spots or clouds in vision, vaginal redness"
Liver cancer,"change in skin mole size or color, cross-eyed, frontal headache, incontinence of stool, joint swelling, leg pain, seizures, stiffness all over, swelling of scrotum, symptoms of infants, unpredictable menstruation, unwanted hair"
Atelectasis,"abusing alcohol, coryza, diarrhea, disturbance of smell or taste, feet turned in, hand or finger weakness, nailbiting, retention of urine, seizures, sharp abdominal pain, sharp chest pain, sore in nose"
Injury to the hand,"flushing, hand or finger cramps or spasms, hand or finger lump or mass, hand or finger pain, hand or finger stiffness or tightness, jaw swelling, muscle pain, painful urination, skin dryness, peeling, scaliness, or roughness, symptoms of prostate, wrist lump or mass, wrist stiffness or tightness"
Choledocholithiasis,"back mass or lump, chest tightness, cross-eyed, diaper rash, itchy scalp, nasal congestion, seizures, sharp abdominal pain, shoulder weakness, unpredictable menstruation, unwanted hair, vaginal redness"
Thoracic aortic aneurysm,"back mass or lump, changes in stool appearance, cough, disturbance of smell or taste, fainting, fluid retention, itchy scalp, lacrimation, seizures, sharp abdominal pain, sharp chest pain, unpredictable menstruation"
Subdural hemorrhage,"abnormal involuntary movements, decreased heart rate, depression, discharge in stools, disturbance of smell or taste, eyelid swelling, hand or finger weakness, hoarse voice, irregular heartbeat, problems during pregnancy, scanty menstrual flow, vaginal redness"
Congenital rubella,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Diabetic retinopathy,"abnormal involuntary movements, bleeding from ear, bleeding or discharge from nipple, diminished hearing, dizziness, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, symptoms of bladder"
Fibromyalgia,"abusing alcohol, arm lump or mass, back mass or lump, fainting, hand or finger weakness, hip lump or mass, leg lump or mass, low back cramps or spasms, muscle cramps, contractures, or spasms, neck mass, sharp abdominal pain, shoulder lump or mass"
Ischemia of the bowel,"blood clots during menstrual periods, bumps on penis, chest tightness, congestion in chest, diaper rash, low urine output, mass or swelling around the anus, nasal congestion, recent weight loss, restlessness, seizures, vaginal redness"
Fetal alcohol syndrome,"constipation, depression, elbow weakness, emotional symptoms, eye moves abnormally, eye redness, hoarse voice, knee weakness, scanty menstrual flow, slurring words, symptoms of the scrotum and testes, wrist swelling"
Peritonitis,"back mass or lump, feet turned in, frontal headache, groin mass, insomnia, low urine output, nasal congestion, seizures, sharp chest pain, shoulder weakness, unwanted hair, vaginal redness"
Injury to the abdomen,"back mass or lump, blood in stool, bumps on penis, leg lump or mass, low urine output, neck mass, pain during intercourse, premenstrual tension or irritability, seizures, sharp abdominal pain, shoulder weakness, unwanted hair"
Acute pancreatitis,"absence of menstruation, back mass or lump, bumps on penis, diaper rash, heavy menstrual flow, lower abdominal pain, nasal congestion, seizures, sharp abdominal pain, shoulder weakness, unwanted hair, vaginal redness"
Thrombophlebitis,"abdominal distention, abusing alcohol, arm lump or mass, arm stiffness or tightness, foot or toe lump or mass, hand or finger stiffness or tightness, lacrimation, leg lump or mass, leg stiffness or tightness, lump over jaw, skin on head or neck looks infected, skin rash"
Asthma,"acne or pimples, changes in stool appearance, cloudy eye, constipation, coryza, cough, diarrhea, feet turned in, nailbiting, sharp abdominal pain, sharp chest pain, weight gain"
Foreign body in the vagina,"abnormal movement of eyelid, back swelling, elbow weakness, low back swelling, low urine output, muscle stiffness or tightness, painful sinuses, paresthesia, pus draining from ear, pus in sputum, skin irritation, vaginal bleeding after menopause"
Restless leg syndrome,"abnormal appearing tongue, abnormal breathing sounds, anxiety and nervousness, back mass or lump, delusions or hallucinations, diarrhea, fainting, hand or finger weakness, infrequent menstruation, leg lump or mass, long menstrual periods, skin swelling"
Emphysema,"abusing alcohol, back mass or lump, changes in stool appearance, coryza, cramps and spasms, early or late onset of menopause, elbow weakness, excessive appetite, itchy ear(s), nasal congestion, sharp abdominal pain, sharp chest pain"
Cysticercosis,"abnormal breathing sounds, early or late onset of menopause, elbow swelling, excessive appetite, feeling hot, hand or finger weakness, low back swelling, scanty menstrual flow, sharp chest pain, toothache, vaginal redness, wrist swelling"
Induced abortion,"abnormal size or shape of ear, blindness, coughing up sputum, groin mass, insomnia, low urine output, pain during intercourse, paresthesia, premenstrual tension or irritability, seizures, spots or clouds in vision, vaginal bleeding after menopause"
Teething syndrome,"coryza, cross-eyed, diaper rash, dry or flaky scalp, feet turned in, groin pain, irregular heartbeat, nailbiting, problems with shape or size of breast, rectal bleeding, symptoms of eye, symptoms of the scrotum and testes"
Infectious gastroenteritis,"blood clots during menstrual periods, bumps on penis, chest tightness, cross-eyed, diaper rash, feet turned in, flatulence, fluid in ear, hand or finger weakness, nasal congestion, seizures, vaginal redness"
Acute sinusitis,"constipation, coryza, cough, dry or flaky scalp, eyelid swelling, feet turned in, frequent urination, hand or finger weakness, nailbiting, painful menstruation, side pain, sore in nose"
Von Hippel-Lindau disease,"abdominal distention, blood in stool, diminished hearing, excessive appetite, fainting, hand or finger weakness, joint swelling, knee lump or mass, nasal congestion, palpitations, scanty menstrual flow, unwanted hair"
Substance-related mental disorder,"absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, fatigue, feeling hot and cold, hoarse voice, infrequent menstruation, problems during pregnancy"
Postpartum depression,"antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, insomnia, pain during intercourse, premenstrual tension or irritability, pus in urine, spots or clouds in vision, upper abdominal pain"
Spondylitis,"arm weakness, back cramps or spasms, back mass or lump, hip lump or mass, leg lump or mass, loss of sex drive, low back cramps or spasms, lower abdominal pain, mouth ulcer, neck mass, shoulder weakness, spotting or bleeding during pregnancy"
Pituitary adenoma,"constipation, diminished hearing, discharge in stools, hand or finger weakness, knee lump or mass, lip swelling, long menstrual periods, muscle stiffness or tightness, nasal congestion, nose deformity, pain during pregnancy, weakness"
Uterine fibroids,"coughing up sputum, heartburn, infant spitting up, insomnia, intermenstrual bleeding, lip swelling, low urine output, pain or soreness of breast, paresthesia, seizures, underweight, vaginal bleeding after menopause"
Idiopathic nonmenstrual bleeding,"blindness, foreign body sensation in eye, heartburn, insomnia, lip swelling, pain or soreness of breast, painful sinuses, paresthesia, seizures, suprapubic pain, underweight, vaginal bleeding after menopause"
Chalazion,"diminished hearing, eye moves abnormally, eye strain, eyelid retracted, foot or toe weakness, irritable infant, lack of growth, mass on ear, pain during pregnancy, skin dryness, peeling, scaliness, or roughness, swollen abdomen, symptoms of bladder"
Ovarian torsion,"abusing alcohol, ache all over, frontal headache, infant spitting up, knee stiffness or tightness, low urine output, pain of the anus, paresthesia, seizures, skin rash, swollen tongue, unusual color or odor to urine"
Retinopathy due to high blood pressure,"bleeding or discharge from nipple, diminished hearing, eye moves abnormally, foot or toe weakness, involuntary urination, irritable infant, lack of growth, mass on ear, pain during pregnancy, pupils unequal, sore throat, symptoms of bladder"
Vaginal yeast infection,"itching of scrotum, low urine output, painful sinuses, paresthesia, premenstrual tension or irritability, seizures, stuttering or stammering, vaginal bleeding after menopause, vaginal dryness, vaginal itching, vaginal pain, vomiting blood"
Mastoiditis,"coryza, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, eyelid swelling, feet turned in, flu-like syndrome, hand or finger weakness, nailbiting, peripheral edema, rectal bleeding, rib pain"
Lung contusion,"abusing alcohol, back mass or lump, disturbance of smell or taste, elbow lump or mass, fluid in ear, hand or finger weakness, hip lump or mass, hot flashes, retention of urine, sharp abdominal pain, sharp chest pain, shoulder lump or mass"
Hypertrophic obstructive cardiomyopathy (HOCM),"antisocial behavior, changes in stool appearance, coryza, diarrhea, early or late onset of menopause, elbow swelling, elbow weakness, jaw swelling, leg stiffness or tightness, muscle stiffness or tightness, muscle weakness, sharp abdominal pain"
Ingrown toe nail,"abdominal distention, foot or toe lump or mass, foot or toe stiffness or tightness, involuntary urination, itchy eyelid, neck stiffness or tightness, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin oiliness, skin on head or neck looks infected, swollen abdomen"
Pulmonary eosinophilia,"abusing alcohol, coryza, diarrhea, disturbance of smell or taste, feet turned in, fluid in ear, nailbiting, nose deformity, palpitations, rectal bleeding, sharp abdominal pain, sharp chest pain"
Corneal disorder,"diminished hearing, dizziness, eye moves abnormally, eye strain, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, swollen abdomen, symptoms of bladder, wheezing"
Foreign body in the gastrointestinal tract,"coughing up sputum, difficulty eating, focal weakness, impotence, lower body pain, recent pregnancy, redness in or around nose, seizures, symptoms of the scrotum and testes, thirst, vaginal redness, vomiting"
Endophthalmitis,"diminished hearing, eye moves abnormally, foot or toe lump or mass, irritable infant, lack of growth, mass on ear, pain during pregnancy, painful menstruation, painful sinuses, palpitations, skin irritation, swollen abdomen"
Intestinal malabsorption,"acne or pimples, congestion in chest, coryza, diaper rash, feeling hot and cold, fever, increased heart rate, infant feeding problem, irregular heartbeat, nailbiting, seizures, vaginal redness"
Lead poisoning,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Viral warts,"abdominal distention, ache all over, breathing fast, foot or toe cramps or spasms, lip sore, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, skin rash, tongue pain, vulvar sore"
Hyperhidrosis,"ache all over, coryza, coughing up sputum, diminished hearing, feet turned in, hand or finger weakness, rectal bleeding, seizures, skin pain, suprapubic pain, vaginal redness, vulvar sore"
Stroke,"abnormal breathing sounds, depression, difficulty in swallowing, discharge in stools, disturbance of smell or taste, flushing, hand or finger weakness, long menstrual periods, problems during pregnancy, scanty menstrual flow, sleepwalking, warts"
Pilonidal cyst,"abusing alcohol, back cramps or spasms, blood in urine, fluid in ear, irregular appearing nails, low back stiffness or tightness, lower abdominal pain, mass on vulva, pain in testicles, paresthesia, skin dryness, peeling, scaliness, or roughness, skin rash"
Normal pressure hydrocephalus,"blood in stool, depression, difficulty in swallowing, discharge in stools, disturbance of smell or taste, double vision, fainting, hand or finger weakness, hesitancy, intermenstrual bleeding, pallor, problems during pregnancy"
Alopecia,"abdominal distention, ache all over, dry lips, feeling hot and cold, irregular appearing nails, itching of scrotum, itchy eyelid, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin pain, skin rash, tongue pain"
Hashimoto thyroiditis,"abnormal breathing sounds, congestion in chest, difficulty eating, feeling cold, headache, heartburn, pallor, premature ejaculation, stuttering or stammering, tongue pain, vulvar sore, weakness"
Flat feet,"allergic reaction, coughing up sputum, feeling ill, foot or toe lump or mass, foot or toe pain, knee lump or mass, problems during pregnancy, restlessness, skin dryness, peeling, scaliness, or roughness, skin rash, symptoms of bladder, weakness"
Nonalcoholic liver disease (NASH),"chest tightness, diaper rash, disturbance of smell or taste, jaw swelling, mouth pain, nasal congestion, nose deformity, palpitations, redness in or around nose, seizures, unwanted hair, weakness"
Hemarthrosis,"abdominal distention, abusing alcohol, ankle stiffness or tightness, early or late onset of menopause, elbow swelling, frequent menstruation, knee cramps or spasms, knee lump or mass, knee pain, knee stiffness or tightness, problems during pregnancy, shoulder lump or mass"
Pelvic organ prolapse,"blood in stool, excessive growth, frequent menstruation, insomnia, intermenstrual bleeding, paresthesia, pelvic pain, restlessness, stuttering or stammering, swollen tongue, vaginal bleeding after menopause, vaginal itching"
Coagulation (bleeding) disorder,"blood in stool, ear pain, eye moves abnormally, heavy menstrual flow, knee stiffness or tightness, lacrimation, leg lump or mass, leg stiffness or tightness, lump over jaw, mass or swelling around the anus, nose deformity, vaginal itching"
Panic disorder,"abnormal breathing sounds, antisocial behavior, bowlegged or knock-kneed, changes in stool appearance, delusions or hallucinations, depression, disturbance of smell or taste, infrequent menstruation, irregular belly button, pallor, sharp abdominal pain, sharp chest pain"
Vocal cord polyp,"coryza, difficulty eating, difficulty in swallowing, difficulty speaking, hip weakness, lower body pain, nailbiting, restlessness, skin rash, sore in nose, thirst, throat redness"
Turner syndrome,"back swelling, blood clots during menstrual periods, delusions or hallucinations, difficulty speaking, elbow swelling, elbow weakness, frontal headache, hip lump or mass, knee weakness, leg lump or mass, pus draining from ear, stuttering or stammering"
Poisoning due to ethylene glycol,"absence of menstruation, delusions or hallucinations, depression, diaper rash, drainage in throat, facial pain, feeling hot and cold, hand or finger weakness, hoarse voice, nasal congestion, seizures, vaginal redness"
Atrophic vaginitis,"blood in stool, frequent menstruation, hostile behavior, insomnia, intermenstrual bleeding, low urine output, obsessions and compulsions, painful sinuses, stuttering or stammering, vaginal bleeding after menopause, vaginal discharge, vaginal dryness"
Cellulitis or abscess of mouth,"abdominal distention, ache all over, difficulty eating, drug abuse, eyelid swelling, lip sore, mouth pain, skin dryness, peeling, scaliness, or roughness, skin irritation, sore in nose, throat redness, too little hair"
Food allergy,"abdominal distention, acne or pimples, coryza, hand or finger stiffness or tightness, itching of scrotum, lip sore, nailbiting, penis redness, skin pain, smoking problems, vaginal redness, weight gain"
Labyrinthitis,"difficulty speaking, disturbance of smell or taste, dry or flaky scalp, hand or finger weakness, long menstrual periods, nasal congestion, peripheral edema, rib pain, sore throat, suprapubic pain, vaginal redness, warts"
Anxiety,"abnormal breathing sounds, antisocial behavior, delusions or hallucinations, depression, fatigue, hand or finger weakness, incontinence of stool, infrequent menstruation, irregular belly button, pallor, sharp abdominal pain, sharp chest pain"
Impulse control disorder,"ankle weakness, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, emotional symptoms, excessive anger, hoarse voice, infrequent menstruation, lip swelling, nosebleed, symptoms of the scrotum and testes"
Stenosis of the tear duct,"abnormal involuntary movements, coryza, cross-eyed, depressive or psychotic symptoms, excessive urination at night, eye moves abnormally, eyelid retracted, lack of growth, nailbiting, skin pain, symptoms of bladder, wheezing"
Abscess of nose,"abnormal appearing tongue, constipation, coryza, cross-eyed, dry or flaky scalp, feet turned in, hand or finger weakness, irregular heartbeat, nailbiting, side pain, sore in nose, vaginal redness"
Omphalitis,"back swelling, depressive or psychotic symptoms, early or late onset of menopause, elbow weakness, fever, irregular appearing scalp, irregular heartbeat, itchy scalp, low back swelling, muscle stiffness or tightness, pus draining from ear, skin pain"
Bell palsy,"abnormal breathing sounds, diminished hearing, eye strain, eyelid swelling, flushing, hand or finger weakness, long menstrual periods, palpitations, penis redness, symptoms of bladder, symptoms of prostate, warts"
Conjunctivitis due to allergy,"acne or pimples, coryza, diminished hearing, excessive urination at night, eye moves abnormally, irritable infant, lack of growth, nailbiting, pain during pregnancy, smoking problems, swollen abdomen, symptoms of bladder"
Drug reaction,"abdominal distention, acne or pimples, disturbance of smell or taste, hand or finger weakness, itching of scrotum, lip sore, nasal congestion, penis redness, sharp chest pain, skin pain, throat redness, vaginal redness"
Myopia,"abnormal involuntary movements, bleeding or discharge from nipple, diminished hearing, eye burns or stings, eye deviation, eye moves abnormally, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, symptoms of bladder"
Osteoarthritis,"allergic reaction, back mass or lump, elbow lump or mass, hand or finger lump or mass, hip lump or mass, jaw swelling, knee lump or mass, knee stiffness or tightness, knee swelling, leg lump or mass, muscle cramps, contractures, or spasms, shoulder lump or mass"
Thyroid disease,"bleeding or discharge from nipple, difficulty eating, dizziness, double vision, hoarse voice, hostile behavior, lower body pain, neck cramps or spasms, neck stiffness or tightness, regurgitation, thirst, tongue pain"
Pharyngitis,"constipation, coryza, difficulty eating, dry or flaky scalp, feet turned in, hip weakness, hot flashes, nailbiting, nasal congestion, seizures, sore in nose, weight gain"
Chronic rheumatic fever,"changes in stool appearance, diarrhea, disturbance of smell or taste, double vision, flu-like syndrome, incontinence of stool, pallor, regurgitation, sharp abdominal pain, sharp chest pain, slurring words, thirst"
Hypocalcemia,"abnormal breathing sounds, congestion in chest, diaper rash, leg swelling, long menstrual periods, nasal congestion, palpitations, scanty menstrual flow, seizures, sharp abdominal pain, sharp chest pain, warts"
Macular degeneration,"abnormal involuntary movements, bleeding from ear, bleeding or discharge from nipple, diminished hearing, dizziness, excessive urination at night, foot or toe weakness, irritable infant, lack of growth, pain during pregnancy, sore throat, symptoms of bladder"
Pneumonia,"chest tightness, constipation, coryza, diarrhea, feet turned in, nailbiting, sharp abdominal pain, sharp chest pain, sore in nose, vaginal redness, warts, weight gain"
Cold sore,"feet turned in, itching of scrotum, leg weakness, lip sore, mouth pain, penis redness, skin irritation, skin pain, skin rash, sore in nose, vaginal bleeding after menopause, vaginal dryness"
Premature ventricular contractions (PVCs),"anxiety and nervousness, arm weakness, changes in stool appearance, diarrhea, facial pain, hysterical behavior, incontinence of stool, irregular belly button, pallor, sharp abdominal pain, sharp chest pain, skin swelling"
Chancroid,"allergic reaction, emotional symptoms, excessive growth, eyelid swelling, fainting, joint pain, knee cramps or spasms, pain during intercourse, pain during pregnancy, pain of the anus, shortness of breath, wrist lump or mass"
Testicular cancer,"abusing alcohol, antisocial behavior, blood in stool, chest tightness, difficulty speaking, groin mass, lymphedema, nasal congestion, pain in gums, painful sinuses, skin oiliness, symptoms of the kidneys"
Hydrocephalus,"abnormal breathing sounds, arm pain, depression, difficulty in swallowing, discharge in stools, flushing, hand or finger weakness, knee weakness, palpitations, problems during pregnancy, scanty menstrual flow, vaginal redness"
Esophageal varices,"bumps on penis, change in skin mole size or color, cross-eyed, difficulty eating, disturbance of smell or taste, itching of scrotum, low urine output, mass or swelling around the anus, nasal congestion, pain in testicles, seizures, warts"
Endometrial cancer,"abnormal size or shape of ear, coughing up sputum, hostile behavior, infertility, insomnia, lip swelling, mass on eyelid, paresthesia, underweight, uterine contractions, vaginal bleeding after menopause, vaginal dryness"
Intertrigo (skin condition),"abdominal distention, ache all over, foot or toe stiffness or tightness, itching of scrotum, neck mass, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin pain, skin rash"
Parathyroid adenoma,"antisocial behavior, difficulty eating, discharge in stools, fever, flatulence, fluid in ear, shoulder lump or mass, symptoms of the face, thirst, tongue bleeding, warts, weakness"
Glucocorticoid deficiency,"anxiety and nervousness, diaper rash, drainage in throat, feeling hot and cold, knee weakness, mouth ulcer, problems during pregnancy, retention of urine, sharp chest pain, shoulder weakness, symptoms of the face, warts"
Temporomandibular joint disorder,"difficulty speaking, dry or flaky scalp, eyelid swelling, hand or finger weakness, jaundice, nailbiting, neck mass, pain during pregnancy, rectal bleeding, rib pain, sore in nose, too little hair"
Wilson disease,"abnormal appearing tongue, anxiety and nervousness, coryza, difficulty breathing, difficulty eating, diminished hearing, facial pain, fainting, infrequent menstruation, problems during pregnancy, skin swelling, warts"
Vitamin A deficiency,"back weakness, excessive appetite, eye redness, fainting, hand or finger lump or mass, joint pain, knee cramps or spasms, loss of sensation, nausea, pelvic pain, shoulder stiffness or tightness, vulvar irritation"
Gonorrhea,"coughing up sputum, itching of scrotum, painful sinuses, palpitations, pelvic pressure, penis pain, problems during pregnancy, seizures, spots or clouds in vision, vaginal bleeding after menopause, vaginal dryness, vaginal itching"
Fracture of the rib,"abusing alcohol, arm lump or mass, back cramps or spasms, back mass or lump, blood in urine, hip lump or mass, hot flashes, retention of urine, sharp abdominal pain, sharp chest pain, shoulder lump or mass, shoulder weakness"
Ependymoma,"abdominal distention, diminished hearing, early or late onset of menopause, elbow swelling, elbow weakness, eye moves abnormally, eyelid retracted, hand or finger weakness, muscle stiffness or tightness, pain during pregnancy, pus draining from ear, symptoms of bladder"
Hepatitis due to a toxin,"delusions or hallucinations, diaper rash, fainting, feeling hot and cold, flatulence, itching of scrotum, itchy scalp, nasal congestion, recent weight loss, seizures, unwanted hair, vaginal redness"
Vaginal cyst,"blindness, coughing up sputum, heartburn, insomnia, low urine output, pain during intercourse, paresthesia, premenstrual tension or irritability, seizures, spots or clouds in vision, vaginal bleeding after menopause, vaginal itching"
Ectopic pregnancy,"bumps on penis, coughing up sputum, disturbance of smell or taste, insomnia, low urine output, nasal congestion, pain during intercourse, paresthesia, premenstrual tension or irritability, seizures, spots or clouds in vision, vaginal bleeding after menopause"
Pinguecula,"abnormal appearing tongue, anxiety and nervousness, diminished hearing, dizziness, hand or finger weakness, itchiness of eye, lack of growth, pain during pregnancy, palpitations, skin swelling, sore throat, symptoms of bladder"
Alcohol abuse,"absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, drainage in throat, emotional symptoms, hoarse voice, low back weakness, sleepwalking, slurring words, vomiting"
Carpal tunnel syndrome,"arm lump or mass, arm swelling, elbow lump or mass, hand or finger lump or mass, hand or finger pain, hand or finger stiffness or tightness, hand or finger swelling, long menstrual periods, neck mass, palpitations, wrist lump or mass, wrist stiffness or tightness"
Pituitary disorder,"ache all over, bleeding in mouth, fluid in ear, hand or finger weakness, hostile behavior, infant spitting up, knee weakness, mouth dryness, pain during pregnancy, poor circulation, skin swelling, weakness"
Kidney stone,"back mass or lump, blood in stool, frequent menstruation, low back cramps or spasms, low urine output, nasal congestion, painful sinuses, restlessness, seizures, shoulder weakness, stuttering or stammering, vaginal redness"
Autism,"ankle weakness, congestion in chest, depression, difficulty in swallowing, eyelid lesion or rash, hoarse voice, knee weakness, lip swelling, nosebleed, regurgitation, scanty menstrual flow, symptoms of the scrotum and testes"
